show ip arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.220.88.1            19   0062.ec29.70fe  ARPA   FastEthernet4
Internet  10.220.88.20            -   c89c.1dea.0eb6  ARPA   FastEthernet4
Internet  10.220.88.21           18   1c6a.7aaf.576c  ARPA   FastEthernet4
Internet  10.220.88.28          224   5254.aba8.9aea  ARPA   FastEthernet4
Internet  10.220.88.29          236   5254.abbe.5b7b  ARPA   FastEthernet4
Internet  10.220.88.30           94   5254.ab71.e119  ARPA   FastEthernet4
Internet  10.220.88.32           12   5254.abc7.26aa  ARPA   FastEthernet4
Internet  10.220.88.37          189   0001.00ff.0001  ARPA   FastEthernet4
Internet  10.220.88.38          222   0002.00ff.0001  ARPA   FastEthernet4
Internet  10.220.88.39            2   6464.9be8.08c8  ARPA   FastEthernet4
Internet  10.220.88.40           31   001c.c4bf.826a  ARPA   FastEthernet4
Internet  10.220.88.41           51   001b.7873.5634  ARPA   FastEthernet4
pynet-rtr1#
